,fecha,periodo,viajes,timestamp
204,20200712,12,8.232000000000001,2020-07-12 12:00:00
205,20200712,14,18.499000000000002,2020-07-12 14:00:00
206,20200712,16,15.728000000000002,2020-07-12 16:00:00
207,20200712,17,4.578,2020-07-12 17:00:00
208,20200712,18,36.617999999999995,2020-07-12 18:00:00
209,20200712,19,21.749,2020-07-12 19:00:00
210,20200712,20,39.55400000000001,2020-07-12 20:00:00
211,20200712,23,8.18,2020-07-12 23:00:00
212,20200713,00,23.278000000000002,2020-07-13 00:00:00
213,20200713,03,10.062000000000001,2020-07-13 03:00:00
214,20200713,04,12.677,2020-07-13 04:00:00
215,20200713,05,17.359,2020-07-13 05:00:00
216,20200713,06,116.67699999999999,2020-07-13 06:00:00
217,20200713,07,69.803,2020-07-13 07:00:00
218,20200713,08,54.35,2020-07-13 08:00:00
219,20200713,09,62.96,2020-07-13 09:00:00
220,20200713,10,7.164,2020-07-13 10:00:00
221,20200713,11,6.279,2020-07-13 11:00:00
222,20200713,12,22.924999999999997,2020-07-13 12:00:00
223,20200713,13,19.865000000000002,2020-07-13 13:00:00
224,20200713,14,13.208,2020-07-13 14:00:00
225,20200713,15,21.072000000000003,2020-07-13 15:00:00
226,20200713,16,11.065000000000001,2020-07-13 16:00:00
227,20200713,17,8.764,2020-07-13 17:00:00
228,20200713,18,20.17,2020-07-13 18:00:00
229,20200713,19,9.271,2020-07-13 19:00:00
230,20200713,20,19.932000000000002,2020-07-13 20:00:00
231,20200713,21,17.904,2020-07-13 21:00:00
232,20200714,01,13.3,2020-07-14 01:00:00
233,20200714,02,9.275,2020-07-14 02:00:00
234,20200714,03,10.462,2020-07-14 03:00:00
235,20200714,04,10.228,2020-07-14 04:00:00
236,20200714,05,17.071,2020-07-14 05:00:00
237,20200714,06,91.61700000000002,2020-07-14 06:00:00
238,20200714,07,120.87,2020-07-14 07:00:00
239,20200714,08,89.89600000000003,2020-07-14 08:00:00
240,20200714,09,36.386,2020-07-14 09:00:00
241,20200714,10,6.122999999999999,2020-07-14 10:00:00
242,20200714,11,18.919999999999998,2020-07-14 11:00:00
243,20200714,12,13.933,2020-07-14 12:00:00
244,20200714,13,16.995,2020-07-14 13:00:00
245,20200714,14,8.03,2020-07-14 14:00:00
246,20200714,15,18.554,2020-07-14 15:00:00
247,20200714,16,11.003,2020-07-14 16:00:00
248,20200714,18,17.825,2020-07-14 18:00:00
249,20200714,19,25.471,2020-07-14 19:00:00
250,20200714,20,6.172999999999999,2020-07-14 20:00:00
251,20200714,21,18.886,2020-07-14 21:00:00
252,20200714,22,4.289,2020-07-14 22:00:00
253,20200714,23,5.398,2020-07-14 23:00:00
254,20200715,00,4.684,2020-07-15 00:00:00
255,20200715,01,10.851,2020-07-15 01:00:00
256,20200715,02,13.15,2020-07-15 02:00:00
257,20200715,03,17.476,2020-07-15 03:00:00
258,20200715,04,12.054000000000002,2020-07-15 04:00:00
259,20200715,05,6.702000000000001,2020-07-15 05:00:00
260,20200715,06,53.55499999999999,2020-07-15 06:00:00
261,20200715,07,94.97200000000001,2020-07-15 07:00:00
262,20200715,08,47.254000000000005,2020-07-15 08:00:00
263,20200715,09,18.401000000000003,2020-07-15 09:00:00
264,20200715,10,17.661,2020-07-15 10:00:00
265,20200715,11,11.843,2020-07-15 11:00:00
266,20200715,12,26.767,2020-07-15 12:00:00
267,20200715,13,31.693000000000005,2020-07-15 13:00:00
268,20200715,14,30.256999999999998,2020-07-15 14:00:00
269,20200715,16,45.334999999999994,2020-07-15 16:00:00
270,20200715,17,15.535,2020-07-15 17:00:00
271,20200715,18,20.301000000000002,2020-07-15 18:00:00
272,20200715,20,8.684,2020-07-15 20:00:00
273,20200715,21,18.51,2020-07-15 21:00:00
274,20200715,22,24.097,2020-07-15 22:00:00
275,20200716,01,17.182000000000002,2020-07-16 01:00:00
276,20200716,02,15.379999999999999,2020-07-16 02:00:00
277,20200716,03,8.031,2020-07-16 03:00:00
278,20200716,04,12.447,2020-07-16 04:00:00
279,20200716,05,19.070999999999998,2020-07-16 05:00:00
280,20200716,06,49.895,2020-07-16 06:00:00
281,20200716,07,74.583,2020-07-16 07:00:00
282,20200716,08,20.924999999999997,2020-07-16 08:00:00
283,20200716,09,22.02,2020-07-16 09:00:00
284,20200716,10,15.132,2020-07-16 10:00:00
285,20200716,11,28.146,2020-07-16 11:00:00
286,20200716,12,16.017,2020-07-16 12:00:00
287,20200716,14,10.383,2020-07-16 14:00:00
288,20200716,15,10.971,2020-07-16 15:00:00
289,20200716,16,11.394,2020-07-16 16:00:00
290,20200716,17,13.408,2020-07-16 17:00:00
291,20200716,18,4.596,2020-07-16 18:00:00
292,20200716,19,12.927,2020-07-16 19:00:00
293,20200716,20,12.838,2020-07-16 20:00:00
294,20200716,21,4.596,2020-07-16 21:00:00
295,20200716,22,8.587,2020-07-16 22:00:00
296,20200717,03,4.523,2020-07-17 03:00:00
297,20200717,04,20.945999999999998,2020-07-17 04:00:00
298,20200717,05,6.303999999999999,2020-07-17 05:00:00
299,20200717,06,34.286,2020-07-17 06:00:00
300,20200717,07,110.884,2020-07-17 07:00:00
301,20200717,08,19.68,2020-07-17 08:00:00
302,20200717,09,35.423,2020-07-17 09:00:00
303,20200717,10,4.073,2020-07-17 10:00:00
304,20200717,11,18.593,2020-07-17 11:00:00
305,20200717,12,26.695999999999998,2020-07-17 12:00:00
306,20200717,13,9.861,2020-07-17 13:00:00
307,20200717,14,7.507999999999999,2020-07-17 14:00:00
308,20200717,15,10.107,2020-07-17 15:00:00
309,20200717,16,4.523,2020-07-17 16:00:00
310,20200717,17,8.31,2020-07-17 17:00:00
311,20200717,18,5.584,2020-07-17 18:00:00
312,20200717,19,20.864,2020-07-17 19:00:00
313,20200717,22,8.412,2020-07-17 22:00:00
314,20200718,01,6.609,2020-07-18 01:00:00
315,20200718,04,4.5569999999999995,2020-07-18 04:00:00
316,20200718,07,5.891,2020-07-18 07:00:00
317,20200718,08,26.527,2020-07-18 08:00:00
318,20200718,09,14.002,2020-07-18 09:00:00
319,20200718,12,21.017999999999997,2020-07-18 12:00:00
320,20200718,15,5.891,2020-07-18 15:00:00
321,20200718,17,6.547999999999999,2020-07-18 17:00:00
322,20200718,19,21.977,2020-07-18 19:00:00
323,20200718,20,10.234,2020-07-18 20:00:00
324,20200718,22,23.14,2020-07-18 22:00:00
325,20200719,00,15.727,2020-07-19 00:00:00
326,20200719,02,8.368,2020-07-19 02:00:00
327,20200719,03,4.655,2020-07-19 03:00:00
328,20200719,06,6.327999999999999,2020-07-19 06:00:00
329,20200719,07,11.027000000000001,2020-07-19 07:00:00
330,20200719,08,9.974,2020-07-19 08:00:00
331,20200719,09,27.273,2020-07-19 09:00:00
332,20200719,11,8.368,2020-07-19 11:00:00
333,20200719,12,10.263,2020-07-19 12:00:00
334,20200719,13,8.443,2020-07-19 13:00:00
335,20200719,16,4.655,2020-07-19 16:00:00
336,20200719,17,18.236,2020-07-19 17:00:00
337,20200719,18,14.218,2020-07-19 18:00:00
338,20200719,19,43.013,2020-07-19 19:00:00
339,20200719,20,35.664,2020-07-19 20:00:00
340,20200719,21,20.015,2020-07-19 21:00:00
341,20200719,22,6.69,2020-07-19 22:00:00
342,20200720,00,6.209,2020-07-20 00:00:00
343,20200720,01,5.895,2020-07-20 01:00:00
344,20200720,05,49.269000000000005,2020-07-20 05:00:00
345,20200720,06,51.268,2020-07-20 06:00:00
346,20200720,07,75.576,2020-07-20 07:00:00
347,20200720,08,110.0,2020-07-20 08:00:00
348,20200720,09,50.687,2020-07-20 09:00:00
349,20200720,10,7.166,2020-07-20 10:00:00
350,20200720,11,18.003,2020-07-20 11:00:00
351,20200720,12,16.18,2020-07-20 12:00:00
352,20200720,13,32.652,2020-07-20 13:00:00
353,20200720,14,5.895,2020-07-20 14:00:00
354,20200720,15,9.349,2020-07-20 15:00:00
355,20200720,16,8.126,2020-07-20 16:00:00
356,20200720,17,16.407,2020-07-20 17:00:00
357,20200720,18,4.5680000000000005,2020-07-20 18:00:00
358,20200720,19,15.239,2020-07-20 19:00:00
359,20200720,20,13.687,2020-07-20 20:00:00
360,20200721,02,5.452000000000001,2020-07-21 02:00:00
361,20200721,04,27.468,2020-07-21 04:00:00
362,20200721,05,41.389,2020-07-21 05:00:00
363,20200721,06,60.22700000000001,2020-07-21 06:00:00
364,20200721,07,69.809,2020-07-21 07:00:00
